 E (mV), i (mA), E (mV)-20, i (mA)-20, E (mV)-40, i (mA)-40, E (mV)-60, i (mA)-60, E (mV)-80, i (mA)-80, E (mV)-100, i (mA)-100, E (mV)-150, i (mA)-150, E (mV)-200, i (mA)-200, E (mV)-250, i (mA)-250, E (mV)-300, i (mA)-300, E (mV)-350, i (mA)-350, E (mV)-400, i (mA)-400, E (mV)-450, i (mA)-450, E (mV)-500, i (mA)-500, E (mV)-600, i (mA)-600, E (mV)-700, i (mA)-700, E (mV)-800, i (mA)-800, E (mV)-900, i (mA)-900, E (mV)-1000, i (mA)-1000
2.87,2.40E-02,2870,2.40E+04,2870000,2.40E+10,2870000000,2.40E+16,2.87E+12,2.40E+22,2.87E+15,2.40E+28,2.87E+18,2.40E+34,2.87E+21,2.40E+40,2.87E+24,2.40E+46,2.87E+27,2.40E+52,2.87E+30,2.40E+58,2.87E+33,2.40E+64,2.87E+36,2.40E+70,2.87E+39,2.40E+76,2.87E+42,2.40E+82,2.87E+45,2.40E+88,2.87E+48,2.40E+94,2.87E+51,2.40E+100,2.87E+54,2.40E+106
16.17,2.69E-02,16170,2.69E+04,16170000,2.69E+10,16170000000,2.69E+16,1.617E+13,2.69E+22,1.617E+16,2.69E+28,1.617E+19,2.69E+34,1.617E+22,2.69E+40,1.617E+25,2.69E+46,1.617E+28,2.69E+52,1.617E+31,2.69E+58,1.617E+34,2.69E+64,1.617E+37,2.69E+70,1.617E+40,2.69E+76,1.617E+43,2.69E+82,1.617E+46,2.69E+88,1.617E+49,2.69E+94,1.617E+52,2.69E+100,1.617E+55,2.69E+106
26.15,2.76E-02,26150,2.76E+04,26150000,2.76E+10,26150000000,2.76E+16,2.615E+13,2.76E+22,2.615E+16,2.76E+28,2.615E+19,2.76E+34,2.615E+22,2.76E+40,2.615E+25,2.76E+46,2.615E+28,2.76E+52,2.615E+31,2.76E+58,2.615E+34,2.76E+64,2.615E+37,2.76E+70,2.615E+40,2.76E+76,2.615E+43,2.76E+82,2.615E+46,2.76E+88,2.615E+49,2.76E+94,2.615E+52,2.76E+100,2.615E+55,2.76E+106
36.13,2.86E-02,36130,2.86E+04,36130000,2.86E+10,36130000000,2.86E+16,3.613E+13,2.86E+22,3.613E+16,2.86E+28,3.613E+19,2.86E+34,3.613E+22,2.86E+40,3.613E+25,2.86E+46,3.613E+28,2.86E+52,3.613E+31,2.86E+58,3.613E+34,2.86E+64,3.613E+37,2.86E+70,3.613E+40,2.86E+76,3.613E+43,2.86E+82,3.613E+46,2.86E+88,3.613E+49,2.86E+94,3.613E+52,2.86E+100,3.613E+55,2.86E+106
46.08,2.90E-02,46080,2.90E+04,46080000,2.90E+10,46080000000,2.90E+16,4.608E+13,2.90E+22,4.608E+16,2.90E+28,4.608E+19,2.90E+34,4.608E+22,2.90E+40,4.608E+25,2.90E+46,4.608E+28,2.90E+52,4.608E+31,2.90E+58,4.608E+34,2.90E+64,4.608E+37,2.90E+70,4.608E+40,2.90E+76,4.608E+43,2.90E+82,4.608E+46,2.90E+88,4.608E+49,2.90E+94,4.608E+52,2.90E+100,4.608E+55,2.90E+106
56.06,2.98E-02,56060,2.98E+04,56060000,2.98E+10,56060000000,2.98E+16,5.606E+13,2.98E+22,5.606E+16,2.98E+28,5.606E+19,2.98E+34,5.606E+22,2.98E+40,5.606E+25,2.98E+46,5.606E+28,2.98E+52,5.606E+31,2.98E+58,5.606E+34,2.98E+64,5.606E+37,2.98E+70,5.606E+40,2.98E+76,5.606E+43,2.98E+82,5.606E+46,2.98E+88,5.606E+49,2.98E+94,5.606E+52,2.98E+100,5.606E+55,2.98E+106
66.01,3.04E-02,66010,3.04E+04,66010000,3.04E+10,66010000000,3.04E+16,6.601E+13,3.04E+22,6.601E+16,3.04E+28,6.601E+19,3.04E+34,6.601E+22,3.04E+40,6.601E+25,3.04E+46,6.601E+28,3.04E+52,6.601E+31,3.04E+58,6.601E+34,3.04E+64,6.601E+37,3.04E+70,6.601E+40,3.04E+76,6.601E+43,3.04E+82,6.601E+46,3.04E+88,6.601E+49,3.04E+94,6.601E+52,3.04E+100,6.601E+55,3.04E+106
75.99,3.11E-02,75990,3.11E+04,75990000,3.11E+10,75990000000,3.11E+16,7.599E+13,3.11E+22,7.599E+16,3.11E+28,7.599E+19,3.11E+34,7.599E+22,3.11E+40,7.599E+25,3.11E+46,7.599E+28,3.11E+52,7.599E+31,3.11E+58,7.599E+34,3.11E+64,7.599E+37,3.11E+70,7.599E+40,3.11E+76,7.599E+43,3.11E+82,7.599E+46,3.11E+88,7.599E+49,3.11E+94,7.599E+52,3.11E+100,7.599E+55,3.11E+106
85.94,3.17E-02,85940,3.17E+04,85940000,3.17E+10,85940000000,3.17E+16,8.594E+13,3.17E+22,8.594E+16,3.17E+28,8.594E+19,3.17E+34,8.594E+22,3.17E+40,8.594E+25,3.17E+46,8.594E+28,3.17E+52,8.594E+31,3.17E+58,8.594E+34,3.17E+64,8.594E+37,3.17E+70,8.594E+40,3.17E+76,8.594E+43,3.17E+82,8.594E+46,3.17E+88,8.594E+49,3.17E+94,8.594E+52,3.17E+100,8.594E+55,3.17E+106
95.92,3.23E-02,95920,3.23E+04,95920000,3.23E+10,95920000000,3.23E+16,9.592E+13,3.23E+22,9.592E+16,3.23E+28,9.592E+19,3.23E+34,9.592E+22,3.23E+40,9.592E+25,3.23E+46,9.592E+28,3.23E+52,9.592E+31,3.23E+58,9.592E+34,3.23E+64,9.592E+37,3.23E+70,9.592E+40,3.23E+76,9.592E+43,3.23E+82,9.592E+46,3.23E+88,9.592E+49,3.23E+94,9.592E+52,3.23E+100,9.592E+55,3.23E+106
